0,0,0,0,0
549,36.4,-52.5,Unspecified,Ocean
550,36.5,-52.6,Unspecified,Ocean
551,36.5,-52.7,Unspecified,Ocean
552,36.5,-52.8,Unspecified,Ocean
553,36.5,-52.9,Unspecified,Ocean
554,36.5,-53.0,Unspecified,Ocean
555,36.5,-53.0,Unspecified,Ocean
556,36.5,-53.0,Unspecified,Ocean
558,34.0,-74.5,Unspecified,Ocean
559,34.5,-73.8,Unspecified,Ocean
560,35.0,-72.6,Unspecified,Ocean
561,35.2,-71.4,Unspecified,Ocean
562,35.4,-70.1,Unspecified,Ocean
563,35.5,-68.9,Unspecified,Ocean
564,35.8,-67.6,Unspecified,Ocean
565,36.0,-66.0,Unspecified,Ocean
567,26.5,-73.0,Unspecified,Ocean
568,26.7,-72.8,Unspecified,Ocean
569,26.9,-72.6,Unspecified,Ocean
570,27.2,-72.4,Unspecified,Ocean
571,27.5,-72.3,Unspecified,Ocean
572,27.7,-72.5,Unspecified,Ocean
573,27.9,-72.7,Unspecified,Ocean
574,28.1,-72.9,Unspecified,Ocean
575,28.3,-73.0,Unspecified,Ocean
576,28.7,-73.6,Unspecified,Ocean
577,29.1,-74.2,Unspecified,Ocean
578,29.5,-74.7,Unspecified,Ocean
579,29.9,-75.3,Unspecified,Ocean
580,30.2,-75.8,Unspecified,Ocean
581,30.5,-76.2,Unspecified,Ocean
582,30.7,-76.7,Unspecified,Ocean
583,31.0,-77.1,Unspecified,Ocean
584,31.2,-77.4,Unspecified,Ocean
585,31.5,-77.7,Unspecified,Ocean
586,31.7,-78.0,Unspecified,Ocean
587,32.1,-78.2,Unspecified,Ocean
588,32.3,-78.2,Unspecified,Ocean
589,32.5,-78.3,Unspecified,Ocean
590,32.8,-78.3,Unspecified,Ocean
591,33.3,-78.3,Unspecified,Ocean
592,33.9,-78.0,Brunswick County,North Carolina
593,34.5,-77.5,Onslow County,North Carolina
594,34.9,-77.1,Unspecified,North Carolina
595,35.5,-76.5,Hyde County,North Carolina
596,36.0,-76.2,Tyrrell County,North Carolina
597,36.3,-75.8,Currituck County,North Carolina
598,36.5,-74.9,Unspecified,Ocean
599,36.8,-73.5,Unspecified,Ocean
600,37.6,-71.8,Unspecified,Ocean
601,38.5,-69.8,Unspecified,Ocean
602,39.4,-67.6,Unspecified,Ocean
603,40.3,-65.2,Unspecified,Ocean
604,41.2,-61.7,Unspecified,Ocean
605,42.1,-58.9,Unspecified,Ocean
606,43.0,-56.0,Unspecified,Ocean
607,44.0,-53.0,Unspecified,Ocean
608,45.0,-50.0,Unspecified,Ocean
609,46.0,-46.0,Unspecified,Ocean
610,47.0,-42.0,Unspecified,Ocean
611,48.0,-38.0,Unspecified,Ocean
612,49.0,-34.0,Unspecified,Ocean
613,50.0,-30.0,Unspecified,Ocean
615,32.5,-73.5,Unspecified,Ocean
616,32.5,-73.5,Unspecified,Ocean
617,32.5,-73.5,Unspecified,Ocean
618,32.5,-73.5,Unspecified,Ocean
619,32.5,-73.5,Unspecified,Ocean
620,32.5,-73.5,Unspecified,Ocean
621,32.5,-73.5,Unspecified,Ocean
622,32.5,-73.5,Unspecified,Ocean
623,32.5,-73.5,Unspecified,Ocean
624,32.5,-73.5,Unspecified,Ocean
625,32.5,-73.5,Unspecified,Ocean
626,32.5,-73.5,Unspecified,Ocean
627,32.5,-73.5,Unspecified,Ocean
628,32.5,-73.5,Unspecified,Ocean
629,32.5,-73.5,Unspecified,Ocean
630,32.5,-73.5,Unspecified,Ocean
631,32.5,-73.5,Unspecified,Ocean
632,32.5,-73.5,Unspecified,Ocean
633,32.5,-73.5,Unspecified,Ocean
634,32.5,-73.5,Unspecified,Ocean
636,16.0,-54.7,Unspecified,Ocean
637,16.0,-56.2,Unspecified,Ocean
638,16.0,-57.7,Unspecified,Ocean
639,16.0,-59.2,Unspecified,Ocean
640,16.0,-61.1,Capesterre-de-Marie-Galante,Pointe-à-Pitre
641,16.0,-63.0,Unspecified,Ocean
642,16.0,-64.6,Unspecified,Ocean
643,16.0,-66.8,Unspecified,Ocean
644,16.0,-68.5,Unspecified,Ocean
645,16.0,-70.3,Unspecified,Ocean
646,16.1,-72.1,Unspecified,Ocean
647,16.2,-73.9,Unspecified,Ocean
648,16.6,-75.8,Unspecified,Ocean
649,17.0,-78.0,Unspecified,Ocean
650,17.7,-80.1,Unspecified,Ocean
651,18.2,-81.4,Unspecified,Ocean
652,19.0,-82.9,Unspecified,Ocean
653,19.7,-84.1,Unspecified,Ocean
654,20.2,-85.3,Unspecified,Ocean
655,21.0,-86.5,Unspecified,Ocean
656,21.7,-87.9,Río Lagartos,Yucatán
657,22.2,-89.4,Unspecified,Ocean
658,23.0,-91.0,Unspecified,Ocean
659,23.7,-92.6,Unspecified,Ocean
660,24.4,-94.1,Unspecified,Ocean
661,25.2,-95.8,Unspecified,Ocean
662,25.8,-97.0,Unspecified,Ocean
663,26.0,-97.5,Cameron County,Texas
664,27.0,-99.1,Zapata County,Texas
